6,19
6,20
7,19
7,20
13,18
13,19
13,20
14,17
14,18
14,20
14,21
15,17
15,18
15,20
15,21
16,17
16,18
16,19
16,20
16,21
17,16
17,17
17,21
17,22
20,18
20,19
21,17
21,18
21,19
21,20
21,21
22,17
23,19
23,20
23,21
24,21
24,18
24,19
25,18
25,19
28,13
28,14
28,18
28,19
29,13
29,15
29,17
29,19
30,14
30,15
30,16
30,17
30,18
30,24
30,26
31,15
31,16
31,17
31,25
31,26
32,16
32,25
37,32
38,33
38,34
39,16
39,17
39,32
39,33
40,16
40,17
45,39
45,41
46,40
46,41
47,40
52,47
53,48
53,49
54,47
54,48
54,49
55,49
55,50
55,51
56,50
56,52
57,52
58,52
58,53
